DL
N=10 NM=2
FORMAT = FULLMATRIX DIAGONAL PRESENT
LEVEL LABELS:
L1
L2
DATA:
  0  0  2  1  0  0  2  0  0  0
  0  0 10  0  0  2  1  0  2  0
  2 10  0  6 11 14 15  4 12  0
  1  0  6  0  2  3  9  1  8  0
  0  0 11  2  0  2  8  1  1  1
  0  2 14  3  2  0 30  2  8  0
  2  1 15  9  8 30  0 10  4  2
  0  0  4  1  1  2 10  0  3  0
  0  2 12  8  1  8  4  3  0  0
  0  0  0  0  1  0  2  0  0  0
 0 4 4 5 4 4 5 5 4 5
 3 0 2 3 4 2 2 2 3 2
 2 2 0 4 5 4 4 1 4 3
 4 4 5 0 5 5 4 3 5 4
 2 3 5 5 0 3 2 3 3 4
 3 2 5 5 2 0 5 3 4 3
 2 1 3 4 2 5 0 2 2 2
 5 3 3 3 2 2 3 0 3 3
 2 2 5 4 2 3 3 2 0 1
 3 3 5 4 4 4 3 3 2 0
  
